channel,feature,r2,persistence_r2,sampled_mean_shift_sd,sampled_sd_ratio,actual_lag1,sampled_lag1,lag1_error,outside_train_range_fraction,wasserstein_sd,reliable
1,P1_B2004,0.9995825886726379,0.9999736547470093,0.00019306679008405993,1.0001634359359741,0.9999868303441878,0.9998992802755744,8.755006861338455e-05,0.0008026001969501193,0.0024972456256982956,True
2,P1_B2016,0.999472439289093,0.9979249238967896,0.0001359691192363321,1.0001420974731445,0.9989624735908638,0.9986234017392687,0.00033907185159509634,0.0,0.0008051540718765457,True
3,P1_B3004,0.9890382885932922,0.999984085559845,0.006657192153756518,0.9943091869354248,0.9999920467677919,0.9988170861679253,0.001174960599866548,0.10607983879689661,0.06456722381209219,False
4,P1_B3005,0.9980035424232483,0.9999847412109375,0.0005925541396502713,0.9975491166114807,0.9999923707673554,0.9996997076873316,0.0002926630800237362,0.02906437308955538,0.02520434761106557,False
5,P1_B4002,0.999988853931427,0.9999889731407166,1.0840868308131242e-05,1.0000543594360352,0.9999944946358614,0.9999930226213656,1.472014495851326e-06,0.0,0.0004261456566547936,True
6,P1_B4005,0.9956819415092468,0.9999991059303284,0.0003315838231253773,0.9974783062934875,0.9999995646918205,0.9995712065784997,0.00042835811332075924,0.27447788295698405,0.036895625643038034,False
7,P1_B400B,0.9997669458389282,0.9995214343070984,0.00012055293296943918,1.0001949071884155,0.9997607291590341,0.9996781962572546,8.253290177950845e-05,0.033231063473721956,0.004025857141606182,False
8,P1_B4022,0.9997904300689697,0.9992038011550903,0.00011013675139214478,0.9999478459358215,0.9996018972118231,0.9994707592738941,0.00013113793792907114,0.0,0.0005839573536556262,True
9,P1_FCV01D,0.999760091304779,0.9999082684516907,0.0010473393729751057,0.999584436416626,0.9999541367075141,0.999838515769593,0.0001156209379210571,0.18323760950369708,0.007173629940810138,False
10,P1_FCV01Z,0.9997901320457458,0.9998846650123596,0.001295300109354397,1.000471591949463,0.9999423203713662,0.9998585849337379,8.373543762829616e-05,0.20827190500856677,0.005768523081196985,False
11,P1_FCV02D,0.873979389667511,0.8979586362838745,0.006848942912948998,1.0051956176757812,0.9489787065161537,0.9350115598498935,0.0139671466662602,0.4509474666863996,0.30052769669575763,False
12,P1_FCV02Z,0.9800874590873718,0.9997236728668213,0.003679735142538782,0.996321976184845,0.9998618428469379,0.9957083368733014,0.0041535059736365065,0.3610448602280295,0.11868159268459066,False
13,P1_FCV03D,0.9962738156318665,0.9999481439590454,0.0015584771173017269,0.9999769330024719,0.9999740766792873,0.999654802313207,0.0003192743660802577,0.0002447645990698945,0.017662489659734354,True
14,P1_FCV03Z,0.9964489340782166,0.9999140501022339,0.0015474265034428878,0.9979329705238342,0.9999570349413899,0.9996878760748964,0.00026915886649347964,0.0015141251942463242,0.023394120206008135,True
15,P1_LCV01D,0.9868400692939758,0.9996322393417358,0.001773043668205963,1.0017751455307007,0.999816115235511,0.9980972844305351,0.0017188308049758128,0.000284609998918482,0.01082630699861136,True
16,P1_LCV01Z,0.9893500804901123,0.9987236261367798,0.0032791021152393336,1.0081764459609985,0.9993617988636136,0.9981952742407623,0.0011665246228513837,0.0003301475987454391,0.033042421408911525,True
17,P1_PCV01D,0.9993197321891785,0.9999879002571106,0.00047414446151148785,0.9986630082130432,0.9999939535969075,0.9999187583309307,7.519526597676851e-05,0.013570204748433222,0.012896845714077128,False
18,P1_PCV01Z,0.9992972612380981,0.999945878982544,0.00040966851084094764,1.0011804103851318,0.9999729549631473,0.9999386033462093,3.4351616937988716e-05,0.12414118932826348,0.015094106934550103,False
19,P1_PCV02Z,0.644366979598999,0.9987702965736389,0.05303391019920172,0.986825704574585,0.9993851294103477,0.8215765195638925,0.1778086098464552,0.2253428127436973,0.54364464730618,False
20,P2_CO_rpm,0.5352101922035217,0.16782456636428833,0.029789160007119387,0.9941854476928711,0.5839191735678358,0.5620625039540527,0.021856669613783186,2.276879991347856e-05,0.03140996037313073,True
21,P3_LCP01D,0.9551495909690857,0.9985436797142029,0.014446517407775175,1.0024306774139404,0.9992718281346615,0.9880974787027316,0.011174349431929964,0.21424871498585488,0.12871351229711184,False
22,P3_LCV01D,0.9996549487113953,0.998371958732605,0.0003730229936939399,0.9999656081199646,0.9991859640610162,0.9990328756646144,0.0001530883964018237,0.07470443251612316,0.005233678087453684,False
23,P4_HT_LD,0.9986387491226196,0.9969357848167419,0.00014933150768579742,0.9999399185180664,0.9984678671531615,0.9957824982611931,0.002685368891968354,0.20682608621406087,0.020522401478897126,False
24,P4_HT_PS,0.9998603463172913,0.9998552799224854,8.605232607260313e-07,0.9999473094940186,0.9999276369152209,0.9998907052722273,3.6931642993565106e-05,0.4893698165403947,0.0012243989905459842,False
25,P4_LD,0.9994738101959229,0.9979833364486694,5.636479510456073e-05,1.0000413656234741,0.9989916669628904,0.9983905006772608,0.0006011662856296729,2.276879991347856e-05,0.0008347504393126821,True
26,P4_ST_GOV,0.9999125599861145,0.9977468252182007,0.00013208895178899103,1.0000637769699097,0.9988733910594446,0.9989449123104684,7.152125102383167e-05,0.0,0.0005968679419404834,True
27,P4_ST_LD,0.9987241625785828,0.9949445724487305,0.0002762211595674538,0.9998711943626404,0.9974722680812951,0.996073843431033,0.0013984246502620756,5.69219997836964e-06,0.001054671476151429,True
28,P4_ST_PS,0.9998603463172913,0.9998552799224854,1.895758819841893e-05,1.000007152557373,0.9999276369152209,0.9998562783552483,7.135855997264517e-05,0.4891705895411518,0.0012411104067528947,False
