seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms,original_threshold,original_auroc,original_auprc,original_etaf1,original_fpr,original_event_detected_ratio,original_censored_delay_mean,delta_auroc,delta_auprc,delta_etaf1,delta_event_detected_ratio,delta_fpr,delta_censored_delay
42,loo_sample,1,P1_B2004,True,0.5975660681724548,401855,8947,50,0.8491914196829833,0.5065479301436016,0.0026901971962902,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,3.9498224613243593e-07,6.776828414212233e-06,0.0,0.0,0.0,0.0
42,loo_sample,2,P1_B2016,True,0.5973185300827026,401855,8947,50,0.8491942845488103,0.5065371657380865,0.0026876520712227,0.84,43.96,0.6831634699296241,0.5584963957658686,0.6145714236497197,1305,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-2.4698835808800723e-06,1.7541233929274647e-05,-0.00033089480191483833,0.0,-2.545125067499824e-06,0.020000000000003126
42,loo_sample,3,P1_B3004,False,0.5975028276443481,401855,8947,50,0.848242219456519,0.5049584568662353,0.0026723813208181,0.84,43.92,0.684609995678047,0.5581843327864054,0.6149667163811569,1299,60,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.0009495952087104076,0.0015962501057804612,-0.000726187533351963,0.0,-1.781587547209978e-05,-0.01999999999999602
42,loo_sample,4,P1_B3005,False,0.5976120829582214,401855,8947,50,0.8476358629662972,0.5044146858189403,0.0026851069461553,0.84,43.96,0.6814817609396548,0.5576811492668657,0.6133972030875176,1305,62,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.0015559516989321898,0.002140021153075433,0.000843325760287339,0.0,-5.090250134899901e-06,0.020000000000003126
42,loo_sample,5,P1_B4002,True,0.5975707173347473,401855,8947,50,0.8491961112528028,0.5065573469308684,0.0026901971962902,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-4.296587573393573e-06,-2.639958852634905e-06,0.0,0.0,0.0,0.0
42,loo_sample,6,P1_B4005,False,0.5975496172904968,401855,8947,50,0.8492709172205977,0.5066247812873631,0.0026825618210878,0.84,43.94,0.6821849861118038,0.5585907353885101,0.6142322201508302,1303,62,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-7.910255536824895e-05,-7.007431534733488e-05,8.308696974657082e-06,0.0,-7.635375202399725e-06,0.0
42,loo_sample,7,P1_B400B,False,0.5974262952804565,401855,8947,50,0.8491873505266709,0.5065519581369887,0.0026901971962902,0.84,43.94,0.6829343558578036,0.5586565248621943,0.6145756059858867,1306,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,4.464138558479824e-06,2.7488350270443718e-06,-0.0003350771380817852,0.0,0.0,0.0
42,loo_sample,8,P1_B4022,True,0.5974763631820679,401855,8947,50,0.8491789369923514,0.5065457034197394,0.0026901971962902,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,1.2877672878053303e-05,9.003552276398707e-06,0.0,0.0,0.0,0.0
42,loo_sample,9,P1_FCV01D,False,0.5975092053413391,401855,8947,50,0.8491841398913659,0.506549910773258,0.0026876520712227,0.84,43.94,0.6838963633811367,0.5586565248621943,0.6149648346518966,1305,60,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,7.674773863541873e-06,4.796198757817116e-06,-0.0007243058040916628,0.0,-2.545125067499824e-06,0.0
42,loo_sample,10,P1_FCV01Z,False,0.5975279211997986,401855,8947,50,0.8491937025295985,0.5065578487697364,0.0026876520712227,0.84,43.94,0.6832653914716361,0.558525805907946,0.6146304696409478,1305,60,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-1.887864369054526e-06,-3.1417977206515957e-06,-0.00038994079314291774,0.0,-2.545125067499824e-06,0.0
42,loo_sample,11,P1_FCV02D,False,0.5973633527755737,401855,8947,50,0.849285483204337,0.506495359301809,0.0026927423213576,0.84,43.98,0.6825433402353408,0.558317321340081,0.6142120243136494,1307,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-9.366853910763862e-05,5.9347670206766345e-05,2.8504534155482375e-05,0.0,2.5451250674000774e-06,0.03999999999999915
42,loo_sample,12,P1_FCV02Z,False,0.5972488522529602,401855,8947,50,0.8494039278120081,0.5066367216843022,0.0026901971962902,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-0.00021211314677871407,-8.201471228641566e-05,0.0,0.0,0.0,0.0
42,loo_sample,13,P1_FCV03D,True,0.5969919562339783,401855,8947,50,0.8482575468158304,0.5063124052485267,0.0026978325714925,0.84,43.96,0.6810738124572842,0.5588903097247399,0.6139622061319335,1309,62,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.0009342678493989842,0.00024230172348904677,0.0002783227158713597,0.0,7.635375202299979e-06,0.020000000000003126
42,loo_sample,14,P1_FCV03Z,True,0.5970547199249268,401855,8947,50,0.8487322618536772,0.5059167011099567,0.00270037769656,0.84,43.94,0.6804357666021161,0.5586565248621943,0.6135618523018311,1310,63,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.0004595528115521885,0.0006380058620590878,0.0006786765459737554,0.0,1.0180500269800236e-05,0.0
42,loo_sample,15,P1_LCV01D,True,0.5972660779953003,401855,8947,50,0.8489160001415461,0.5066756175112527,0.0026825618210878,0.84,43.94,0.6817712802760494,0.5588445742166689,0.6142178168355147,1301,62,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.0002758145236833043,-0.00012091053923690698,2.2712012290204697e-05,0.0,-7.635375202399725e-06,0.0
42,loo_sample,16,P1_LCV01Z,True,0.5970184206962585,401855,8947,50,0.84951435528994,0.5073773780008585,0.0026851069461553,0.84,43.94,0.6938246388632836,0.5601942005183544,0.6198894732069754,1140,59,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,-0.00032254062471059886,-0.000822671028842703,-0.005648944359170516,0.0,-5.090250134899901e-06,0.0
42,loo_sample,17,P1_PCV01D,False,0.597167432308197,401855,8947,50,0.8490378098500315,0.5065864057226109,0.0026901971962902,0.84,43.9,0.6826137914437086,0.5586565248621943,0.6144457714671855,1308,61,0.597582995891571,0.8491918146652294,0.5065547069720158,0.6142405288478049,0.0026901971962902,0.84,43.94,0.00015400481519789455,-3.1698750595166025e-05,-0.00020524261938059674,0.0,0.0,-0.03999999999999915
