mode,channel,feature,global_event,attack_id,target_class,reliable_imputer,seeds,mean_delta_normalized_score,min_delta_normalized_score,max_delta_normalized_score,positive_seeds,mean_detection_drop,mean_alarm_delay_increase,max_abs_fpr_shift,stable_targeted_cell
zero,4,P1_B3005,9,A204,mixed_control_sensor,False,3,0.029895197429009073,0.022141932479908033,0.03571756390362835,3,0.0,0.3333333333333333,6.87183768211001e-05,False
zero,4,P1_B3005,26,A301,control_only,False,3,0.0357942449229998,0.0321590276257433,0.03905698567080618,3,0.0,0.3333333333333333,6.87183768211001e-05,False
zero,4,P1_B3005,27,A302,mixed_control_sensor,False,3,0.09058670964404802,0.07721229860215839,0.09838179977130324,3,0.0,0.0,6.87183768211001e-05,False
zero,4,P1_B3005,35,A402,mixed_control_sensor,False,3,0.06363493815203358,0.05859556173264768,0.06855650332062879,3,0.0,0.3333333333333333,6.87183768211001e-05,False
zero,4,P1_B3005,50,A512,mixed_control_sensor,False,3,0.060059321524527975,0.05283573707274236,0.06923367492899102,3,0.0,0.0,6.87183768211001e-05,False
zero,13,P1_FCV03D,11,A206,mixed_control_sensor,True,3,0.004411913584956166,-0.0023008466587349785,0.013306333491532873,2,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,21,A216,control_only,True,3,0.03853819957849617,0.02669524974682952,0.05702828947260519,3,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,23,A218,control_only,True,3,0.031237627930316886,0.02616399239452205,0.03733013251011075,3,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,32,A307,control_only,True,3,0.31243401719660824,0.2555226932369017,0.35203468126129067,3,0.0,0.0,2.7996375741900018e-05,True
zero,13,P1_FCV03D,40,A502,mixed_control_sensor,True,3,0.00548113198190503,0.0018607546075481984,0.009565973763720592,3,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,42,A504,control_only,True,3,0.02231466596845137,0.013038796508151318,0.029847726813541087,3,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,46,A508,control_only,True,3,0.018153954587788013,0.0020534704769785694,0.03356785412024932,3,0.0,0.0,2.7996375741900018e-05,False
zero,13,P1_FCV03D,50,A512,mixed_control_sensor,True,3,0.03946195161836467,0.023511401619663808,0.05986745692433204,3,0.0,0.0,2.7996375741900018e-05,False
zero,15,P1_LCV01D,3,A103,control_only,True,3,0.011027965587234956,-0.009719337278727203,0.02823978009728778,2,0.0,0.0,3.5631750944300176e-05,False
