seed,mode,channel,feature,reliable_imputer,threshold,rows,attack_rows,events,auroc,auprc,fpr,event_detected_ratio,censored_delay_mean,etap,etar,etaf1,false_alarm_seconds,n_false_alarms
42,original,0,original,True,0.597582995891571,401855,8947,50,0.8491918146652294,0.5065547069720158,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,loo_sample,1,P1_B2004,True,0.5975660681724548,401855,8947,50,0.8491914196829833,0.5065479301436016,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,loo_sample,2,P1_B2016,True,0.5973185300827026,401855,8947,50,0.8491942845488103,0.5065371657380865,0.00268765207122278,0.84,43.96,0.6831634699296241,0.5584963957658686,0.6145714236497197,1305,61
42,loo_sample,3,P1_B3004,False,0.5975028276443481,401855,8947,50,0.848242219456519,0.5049584568662353,0.002672381320818105,0.84,43.92,0.684609995678047,0.5581843327864054,0.6149667163811569,1299,60
42,loo_sample,4,P1_B3005,False,0.5976120829582214,401855,8947,50,0.8476358629662972,0.5044146858189403,0.0026851069461553342,0.84,43.96,0.6814817609396548,0.5576811492668657,0.6133972030875176,1305,62
42,loo_sample,5,P1_B4002,True,0.5975707173347473,401855,8947,50,0.8491961112528028,0.5065573469308684,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,loo_sample,6,P1_B4005,False,0.5975496172904968,401855,8947,50,0.8492709172205977,0.5066247812873631,0.002682561821087888,0.84,43.94,0.6821849861118038,0.5585907353885101,0.6142322201508302,1303,62
42,loo_sample,7,P1_B400B,False,0.5974262952804565,401855,8947,50,0.8491873505266709,0.5065519581369887,0.002690197196290226,0.84,43.94,0.6829343558578036,0.5586565248621943,0.6145756059858867,1306,61
42,loo_sample,8,P1_B4022,True,0.5974763631820679,401855,8947,50,0.8491789369923514,0.5065457034197394,0.002690197196290226,0.84,43.94,0.6823023557295324,0.558525805907946,0.6142405288478049,1306,61
42,loo_sample,9,P1_FCV01D,False,0.5975092053413391,401855,8947,50,0.8491841398913659,0.506549910773258,0.00268765207122278,0.84,43.94,0.6838963633811367,0.5586565248621943,0.6149648346518966,1305,60
42,loo_sample,10,P1_FCV01Z,False,0.5975279211997986,401855,8947,50,0.8491937025295985,0.5065578487697364,0.00268765207122278,0.84,43.94,0.6832653914716361,0.558525805907946,0.6146304696409478,1305,60
