architecture,fault_id,dauc_f0,dauc_f0c,dpr_f0,dpr_f0c,pos_f0,pos_f0c,gain
tcn,1,5.5486520237924e-05,6.156347735828405e-05,1.9298716966353878e-05,2.1073277135186252e-05,5,5,False
tcn,2,0.000297815895135356,0.00029122733699962213,0.00010285479500613537,0.00010102075033291413,5,5,False
tcn,3,0.01772191094690565,0.018293913550523365,0.012141619506239177,0.012436895823972716,5,5,False
tcn,4,0.1664719180353535,0.16634358939272345,0.10074736479741313,0.10077050519031786,5,5,True
tcn,5,2.765172668424132e-05,-0.00013434211191364341,-0.00010012749414083366,-0.00014728371364265415,2,1,False
tcn,6,2.3206961718535977e-06,6.6995077534715005e-06,1.9515043893303386e-06,3.748797299785167e-06,2,5,False
tcn,7,0.48746753614183796,0.4880038659777927,0.2779874390856877,0.2782533522184733,5,5,True
tcn,8,0.0004436751937611616,0.000491557350473748,0.00015865371162551156,0.00017724719093610287,5,5,False
tcn,9,0.014510708487275936,0.015165087483773609,0.009873117946983711,0.010372039002797883,5,5,False
tcn,10,0.0006419366132505155,0.0004073650821828201,0.0002740591826756678,0.00017596433243043385,5,3,False
tcn,11,0.01230206095078894,0.012664337957466798,0.004569212100402775,0.004715046032291404,5,5,False
tcn,12,0.004092273098785859,0.004614506169415167,0.0019477684357810609,0.002169878572810413,5,5,False
tcn,13,0.00010547487052801064,0.00011299602183982849,3.818241538062761e-05,4.0080561870081687e-05,5,5,False
tcn,14,-0.00018027217174012566,-6.39766315449819e-05,-7.102182970375459e-05,-2.2757023696051705e-05,1,1,False
tcn,15,0.00041390987685827605,0.00032651609570761854,0.0006683927113150245,0.0006571652031169606,5,4,False
tcn,16,0.0002575689212861665,0.00033617302716169026,-4.296337871132483e-05,-7.744518539642976e-06,4,5,False
tcn,17,-0.0003755613742466135,-0.0002531907260912902,-0.000168316074588315,-0.0001233479679942473,2,2,False
tcn,18,0.0018847658778148313,0.0018681992507202372,0.0005736278019684793,0.000556917309129612,5,5,False
tcn,19,0.17726284087729097,0.17825719847284022,0.07857769582286192,0.07906564591871398,5,5,True
tcn,20,0.0012303209279333372,0.0013792547637451412,0.0004991782756173623,0.0005565988558383417,4,4,False
tcn,21,-0.00016636093883102277,-0.00020960725068079887,-0.00023720116224632549,-0.00022516384998878537,1,1,False
tcn,22,0.017665534980565334,0.01835588939062771,0.012906729143104468,0.013486789730509919,5,5,False
tcn,23,0.02996392103345873,0.030000129441220724,0.019792800570528523,0.019835109805669892,5,5,True
tcn,24,0.11100435908720518,0.10906116467512109,0.047304164695611405,0.046306076962756994,5,5,True
tcn,25,0.2914334043410888,0.2916488093256852,0.1681592262762584,0.16841308315173448,5,5,True
tcn,26,0.38719095970186607,0.38681275156284867,0.23775837286529003,0.23742150758994587,5,5,True
tcn,27,0.007206260886931238,0.007581315591256676,0.004170365756144423,0.004370069420994138,5,5,False
tcn,28,0.0013671014658910075,0.001407143182947279,0.001038282103189725,0.0010721156725232994,5,5,False
transformer,1,5.95213880044021e-05,5.95213880044021e-05,2.0231687882787952e-05,2.0231687882787952e-05,5,5,False
transformer,2,0.0003816457280081842,0.0003816457280081842,0.0001276399363896674,0.0001276399363896674,5,5,False
transformer,3,0.015757555977164085,0.015757555977164085,0.011565275578379431,0.011565275578379431,5,5,False
transformer,4,0.10874602399716957,0.10874602399716957,0.0766705964518249,0.0766705964518249,5,5,True
transformer,5,0.0002121344364190869,0.0002121344364190869,6.354259874969958e-05,6.354259874969958e-05,3,3,False
transformer,6,-1.9132645199038122e-06,-1.9132645199038122e-06,-6.48168948580441e-07,-6.48168948580441e-07,1,1,False
transformer,7,0.48449304037703145,0.48449304037703145,0.27144941636917375,0.27144941636917375,5,5,True
transformer,8,-0.00011822236522394114,-0.00011822236522394114,-4.176871093866108e-05,-4.176871093866108e-05,0,0,False
transformer,9,0.008164445825150768,0.008164445825150768,0.005362677020308326,0.005362677020308326,5,5,False
