mode,fault_id,architecture_left,architecture_right,channels,spearman
loo_sample,28,tcn,transformer,11,0.6438356164383562
zero,1,gru,tcn,11,0.7990867579908677
zero,1,gru,transformer,11,0.9634703196347033
zero,1,tcn,transformer,11,0.7168949771689498
zero,2,gru,tcn,11,0.9178082191780823
zero,2,gru,transformer,11,0.9360730593607306
zero,2,tcn,transformer,11,0.9634703196347033
zero,3,gru,tcn,11,0.9360730593607306
zero,3,gru,transformer,11,0.9360730593607306
zero,3,tcn,transformer,11,1.0
zero,4,gru,tcn,11,0.8538812785388127
zero,4,gru,transformer,11,0.6438356164383562
zero,4,tcn,transformer,11,0.7990867579908677
zero,5,gru,tcn,11,0.8995433789954339
zero,5,gru,transformer,11,0.9817351598173516
zero,5,tcn,transformer,11,0.9178082191780823
zero,6,gru,tcn,11,0.24200913242009137
zero,6,gru,transformer,11,0.7077625570776256
zero,6,tcn,transformer,11,0.3424657534246575
zero,7,gru,tcn,11,0.6164383561643836
zero,7,gru,transformer,11,0.497716894977169
zero,7,tcn,transformer,11,0.497716894977169
zero,8,gru,tcn,11,0.9543378995433791
zero,8,gru,transformer,11,0.8173515981735161
zero,8,tcn,transformer,11,0.7899543378995434
zero,9,gru,tcn,11,0.9634703196347033
zero,9,gru,transformer,11,0.8538812785388127
zero,9,tcn,transformer,11,0.9269406392694064
zero,10,gru,tcn,11,0.9634703196347033
zero,10,gru,transformer,11,0.9086757990867581
zero,10,tcn,transformer,11,0.9178082191780823
zero,11,gru,tcn,11,0.9086757990867581
zero,11,gru,transformer,11,0.9726027397260274
zero,11,tcn,transformer,11,0.9360730593607306
zero,12,gru,tcn,11,0.8356164383561645
zero,12,gru,transformer,11,0.9178082191780823
zero,12,tcn,transformer,11,0.8082191780821917
zero,13,gru,tcn,11,0.6529680365296804
zero,13,gru,transformer,11,0.7442922374429224
zero,13,tcn,transformer,11,0.9269406392694064
zero,14,gru,tcn,11,0.7899543378995434
zero,14,gru,transformer,11,0.9269406392694064
zero,14,tcn,transformer,11,0.8904109589041096
zero,15,gru,tcn,11,0.7625570776255707
zero,15,gru,transformer,11,0.6894977168949772
zero,15,tcn,transformer,11,0.9086757990867581
zero,16,gru,tcn,11,0.3881278538812785
zero,16,gru,transformer,11,0.8356164383561645
zero,16,tcn,transformer,11,0.4063926940639269
zero,17,gru,tcn,11,0.0228310502283105
zero,17,gru,transformer,11,0.9086757990867581
zero,17,tcn,transformer,11,0.10502283105022833
zero,18,gru,tcn,11,0.6164383561643836
zero,18,gru,transformer,11,0.8538812785388127
zero,18,tcn,transformer,11,0.634703196347032
zero,19,gru,tcn,11,0.6529680365296804
zero,19,gru,transformer,11,0.8721461187214613
zero,19,tcn,transformer,11,0.7990867579908677
zero,20,gru,tcn,11,0.6712328767123288
zero,20,gru,transformer,11,0.589041095890411
zero,20,tcn,transformer,11,0.44292237442922383
zero,21,gru,tcn,11,0.7351598173515982
zero,21,gru,transformer,11,0.9726027397260274
zero,21,tcn,transformer,11,0.7808219178082192
zero,22,gru,tcn,11,0.6529680365296804
zero,22,gru,transformer,11,0.7808219178082192
zero,22,tcn,transformer,11,0.4337899543378996
zero,23,gru,tcn,11,0.5799086757990868
zero,23,gru,transformer,11,0.8721461187214613
zero,23,tcn,transformer,11,0.771689497716895
zero,24,gru,tcn,11,0.8812785388127855
zero,24,gru,transformer,11,0.9634703196347033
zero,24,tcn,transformer,11,0.9452054794520549
zero,25,gru,tcn,11,0.680365296803653
zero,25,gru,transformer,11,0.6621004566210046
zero,25,tcn,transformer,11,0.8630136986301371
zero,26,gru,tcn,11,0.7990867579908677
zero,26,gru,transformer,11,0.8904109589041096
zero,26,tcn,transformer,11,0.9360730593607306
zero,27,gru,tcn,11,0.9634703196347033
zero,27,gru,transformer,11,0.8904109589041096
zero,27,tcn,transformer,11,0.8995433789954339
zero,28,gru,tcn,11,0.771689497716895
zero,28,gru,transformer,11,0.9634703196347033
zero,28,tcn,transformer,11,0.7808219178082192
