variant,seed,split_seed,epochs,input_dim,hidden_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds,architecture
F0,42,42,1,41,32,8425,0.5634589791297913,0.7760360836982727,0.7485231280249023,0.8981366673730268,0.6392857142857142,62.452513966480446,0.009930915371329879,0.0,0.8661727905273438,59.565913100000216,tcn
F1,42,42,1,52,32,9481,0.5604904294013977,0.7729741930961609,0.8107874391206428,0.9267906864577856,0.6821428571428572,26.42931937172775,0.010063533185294843,0.0,0.8608328104019165,56.878613800000494,tcn
F0-C,42,42,1,41,35,9526,0.5637712478637695,0.7761242389678955,0.7482357732242394,0.8979683212636934,0.6321428571428571,56.17796610169491,0.00991857883049593,0.0,0.8660144805908203,56.252338000000236,tcn
