variant,seed,split_seed,epochs,input_dim,hidden_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds
F0,46,42,30,41,64,23209,0.4998995363712311,0.7366359233856201,0.7513299701879823,0.899904151958412,0.65,53.392857142857146,0.010088206266962744,0.0,0.8233305811882019,1018.0444096999709
F1,46,42,30,52,64,25321,0.5355837345123291,0.7529356479644775,0.8270228431803132,0.9346612780293923,0.6821428571428572,30.023560209424083,0.010134468295090057,0.0,0.8454441428184509,1085.2646813999745
