variant,seed,split_seed,epochs,input_dim,hidden_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds
F0,45,42,30,41,64,23209,0.49074825644493103,0.7343297600746155,0.7472866865210505,0.8978097223683217,0.6482142857142857,51.837465564738295,0.010189982728842832,0.0,0.8191421627998352,954.9066967000253
F1,45,42,30,52,64,25321,0.5252872109413147,0.7494025826454163,0.8244307799950279,0.9334924798482823,0.6821428571428572,29.787958115183248,0.009678016284233901,0.0,0.8455680012702942,975.5426260000095
