variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0-C,44,42,1,0.9989010964287783,0.9996215431839808,1.0,7.05,0.0
F0-C,44,42,2,0.9974611152409024,0.9991160614761875,1.0,16.6,0.0
F0-C,44,42,3,0.5184453277266793,0.7197194913970041,0.0,,0.0
F0-C,44,42,4,0.5020982113688841,0.7122765811811547,1.0,4.0,0.0
F0-C,44,42,5,0.4953732745793469,0.7054482042586756,0.0,,0.0
F0-C,44,42,6,0.999568217988878,0.9998582128945845,1.0,3.0,0.0
F0-C,44,42,7,0.5121945372106527,0.7274593641439351,1.0,4.0,0.0
F0-C,44,42,8,0.9928945214311514,0.997603288045935,1.0,26.2,0.0
F0-C,44,42,9,0.532741250698058,0.732104770704786,0.0,,0.0
F0-C,44,42,10,0.9603474264003383,0.9856151755453904,1.0,43.5,0.0
F0-C,44,42,11,0.955096353579173,0.9832206352551829,1.0,12.05,0.0
F0-C,44,42,12,0.7868587666840487,0.9097898152634128,1.0,26.1,0.0
F0-C,44,42,13,0.988680448458355,0.996248842237477,1.0,36.65,0.0
F0-C,44,42,14,0.9972863603470997,0.9989643806869838,1.0,6.25,0.0
F0-C,44,42,15,0.5163030292943974,0.7194526874079019,0.0,,0.0
F0-C,44,42,16,0.5102656626959031,0.7161597682091193,0.0,,0.0
F0-C,44,42,17,0.9897176517143565,0.9966091570860788,1.0,33.7,0.0
F0-C,44,42,18,0.936583448289465,0.9762691157798444,1.0,62.3,0.0
F0-C,44,42,19,0.7556013407644921,0.8920404559363156,1.0,119.6,0.0
F0-C,44,42,20,0.9868991184436481,0.9956330637935735,1.0,42.85,0.0
F0-C,44,42,21,0.5014886141036689,0.7078465771149216,0.0,,0.0
F0-C,44,42,22,0.547808840588822,0.7436423167583509,0.0,,0.0
F0-C,44,42,23,0.5241040633448351,0.7256588545636097,0.0,,0.0
F0-C,44,42,24,0.9045979524864426,0.9631917164983246,1.0,27.35,0.0
F0-C,44,42,25,0.6798228689352165,0.8428642039135744,1.0,248.2,0.0
F0-C,44,42,26,0.5377967100972781,0.7388955071148194,0.15,1042.6666666666667,0.0
F0-C,44,42,27,0.7710549736864489,0.8980150259405667,1.0,28.9,0.0
F0-C,44,42,28,0.5600950067740905,0.760434458149736,0.0,,0.0
