variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0-C,46,42,1,0.9988956475697719,0.9996193668042468,1.0,7.05,0.0
F0-C,46,42,2,0.997401489067148,0.9990928692411655,1.0,17.9,0.0
F0-C,46,42,3,0.5177043691959481,0.7191301363772269,0.0,,0.0
F0-C,46,42,4,0.5019702340667103,0.7121681939441659,1.0,4.0,0.0
F0-C,46,42,5,0.4953253689999371,0.7053670642231488,0.0,,0.0
F0-C,46,42,6,0.9995623345772018,0.9998565992752594,1.0,3.0,0.0
F0-C,46,42,7,0.5129031169445954,0.7272054907948772,1.0,4.0,0.0
F0-C,46,42,8,0.9928364824533179,0.9975818577167176,1.0,26.0,0.0
F0-C,46,42,9,0.5329901045268677,0.7323459130485024,0.0,,0.0
F0-C,46,42,10,0.9660100298454471,0.9878190850709511,1.0,42.0,0.0
F0-C,46,42,11,0.9511685491118483,0.981766688450185,1.0,11.8,0.0
F0-C,46,42,12,0.7811079706205412,0.9068396590474965,1.0,27.5,0.0
F0-C,46,42,13,0.988609795125367,0.9962312852880618,1.0,36.7,0.0
F0-C,46,42,14,0.9981633338634259,0.9993258041069775,1.0,6.25,0.0
F0-C,46,42,15,0.5158581120813038,0.7191192538829227,0.0,,0.0
F0-C,46,42,16,0.5111581352574462,0.7168489074246169,0.0,,0.0
F0-C,46,42,17,0.9896022826034697,0.9965607356309321,1.0,33.5,0.0
F0-C,46,42,18,0.9308946576526266,0.9738751508746623,1.0,63.9,0.0
F0-C,46,42,19,0.7566142830374061,0.8925491999821757,1.0,115.85,0.0
F0-C,46,42,20,0.985209257142998,0.9949684178581727,1.0,42.75,0.0
F0-C,46,42,21,0.5018490031176842,0.7083216702160632,0.0,,0.0
F0-C,46,42,22,0.5486757207718642,0.7442732069305791,0.0,,0.0
F0-C,46,42,23,0.5232912957559306,0.7249627129883344,0.0,,0.0
F0-C,46,42,24,0.8984739804654707,0.9605865685374622,1.0,27.05,0.0
F0-C,46,42,25,0.677504299297689,0.8415468673017344,1.0,248.6,0.0
F0-C,46,42,26,0.5377496273942003,0.738144481548854,0.1,1032.0,0.0
F0-C,46,42,27,0.7738484693267453,0.8996242209561321,1.0,28.75,0.0
F0-C,46,42,28,0.558554884310368,0.7586500923105465,0.0,,0.0
