variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0,46,42,1,0.9989264114332348,0.999630571346461,1.0,6.4,0.0
F0,46,42,2,0.997580678863728,0.999158664177444,1.0,15.8,0.0
F0,46,42,3,0.5201548979941542,0.7203854750818468,0.0,,0.0
F0,46,42,4,0.5023912015720328,0.7127671265927903,1.0,4.0,0.0
F0,46,42,5,0.4953870939706279,0.7056041927207554,0.0,,0.0
F0,46,42,6,0.9995611572784798,0.9998564981477035,1.0,3.0,0.0
F0,46,42,7,0.5127858770998757,0.7280385085632363,1.0,4.0,0.0
F0,46,42,8,0.9928623491239295,0.9975940323390993,1.0,25.8,0.0
F0,46,42,9,0.5331605138939741,0.7324251029244383,0.0,,0.0
F0,46,42,10,0.9644077201209598,0.9870656598963128,1.0,44.05,0.0
F0,46,42,11,0.9659278069328718,0.9873787154986876,1.0,11.75,0.0
F0,46,42,12,0.790994999254172,0.9117402841427351,1.0,25.9,0.0
F0,46,42,13,0.988674065773399,0.9962520680371563,1.0,36.5,0.0
F0,46,42,14,0.9986998553956649,0.9995390304741553,1.0,6.15,0.0
F0,46,42,15,0.5165240378510785,0.7195831874400412,0.0,,0.0
F0,46,42,16,0.5114831220975888,0.7167959232498101,0.0,,0.0
F0,46,42,17,0.9893581410514819,0.9964624789582397,1.0,33.4,0.0
F0,46,42,18,0.9522169675250469,0.9823732963010015,1.0,63.1,0.0
F0,46,42,19,0.7616549892193955,0.8954638375661135,1.0,123.75,0.0
F0,46,42,20,0.9837797761036713,0.9944086427502873,1.0,42.55,0.0
F0,46,42,21,0.5011694552003935,0.7079411509749757,0.0,,0.0
F0,46,42,22,0.5490929930385279,0.7435901258237958,0.0,,0.0
F0,46,42,23,0.5245973946564199,0.7257874029882122,0.0,,0.0
F0,46,42,24,0.9153523605763956,0.9677162507240868,1.0,25.4,0.0
F0,46,42,25,0.680557796121448,0.8429187140525901,0.95,262.42105263157896,0.0
F0,46,42,26,0.5410517900488055,0.7409748196149449,0.25,891.8,0.0
F0,46,42,27,0.7845913479022509,0.9049334625949659,1.0,27.95,0.0
F0,46,42,28,0.561476502103728,0.7612525847660614,0.0,,0.0
F1,46,42,1,0.998980283636534,0.9996504822315861,1.0,6.05,0.0
F1,46,42,2,0.9979393543225354,0.9992869188419035,1.0,12.2,0.0
F1,46,42,3,0.5446913998020165,0.7360926876873272,0.0,,0.0
F1,46,42,4,0.9790173069075999,0.9905209833764544,1.0,4.0,0.0
F1,46,42,5,0.49598877682977494,0.7054809970154671,0.0,,0.0
F1,46,42,6,0.9995643193425865,0.9998576892781554,1.0,3.0,0.0
F1,46,42,7,0.9992870839851623,0.9997606224069524,1.0,4.0,0.0
F1,46,42,8,0.9934119380555956,0.9977948049542013,1.0,24.85,0.0
F1,46,42,9,0.5443837796589902,0.7394912210849418,0.0,,0.0
F1,46,42,10,0.9642185787600517,0.9870123134556577,1.0,43.65,0.0
F1,46,42,11,0.9896736663547749,0.9962219795762512,1.0,10.35,0.0
F1,46,42,12,0.8142992021489708,0.9226060127163237,1.0,27.15,0.0
F1,46,42,13,0.9888085336282127,0.9963010315108844,1.0,35.7,0.0
F1,46,42,14,0.9990515595201552,0.9996759216572491,1.0,5.75,0.0
F1,46,42,15,0.5165205090368463,0.7199847315093133,0.0,,0.0
F1,46,42,16,0.5125071963154865,0.7180520879485153,0.0,,0.0
F1,46,42,17,0.989688163771498,0.9965910882076023,1.0,32.75,0.0
F1,46,42,18,0.9480104483720609,0.9806082696476878,1.0,64.25,0.0
F1,46,42,19,0.9870767857649175,0.9953436105923941,1.0,29.55,0.0
F1,46,42,20,0.9866115462801676,0.9955205939193249,1.0,42.7,0.0
F1,46,42,21,0.5013100684312587,0.706664979459419,0.0,,0.0
F1,46,42,22,0.5684302509063968,0.7565144830828269,0.0,,0.0
F1,46,42,23,0.5355870991482767,0.7332636354736469,0.0,,0.0
F1,46,42,24,0.9872972241638406,0.9954118086978582,1.0,16.95,0.0
F1,46,42,25,0.9112285358718606,0.9643023570402015,1.0,33.2,0.0
F1,46,42,26,0.9548142518482358,0.9834260316468459,1.0,31.75,0.0
F1,46,42,27,0.8767562276636846,0.9482687010723696,1.0,18.1,0.0
F1,46,42,28,0.5655629152135349,0.7636120302626543,0.1,1275.0,0.0
