variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0,45,42,1,0.9988833968828088,0.999615748508364,1.0,7.35,0.0
F0,45,42,2,0.9975610376994474,0.9991526970079929,1.0,15.6,0.0
F0,45,42,3,0.518230048484983,0.7192667669014055,0.0,,0.0
F0,45,42,4,0.5019396458734755,0.7121657869027909,1.0,4.0,0.0
F0,45,42,5,0.49514577547002575,0.7053601434091645,0.0,,0.0
F0,45,42,6,0.9995643039329174,0.9998571799489391,1.0,3.0,0.0
F0,45,42,7,0.5110789203122862,0.7253520800985547,1.0,4.0,0.0
F0,45,42,8,0.9930285547332957,0.9976543405448299,1.0,26.1,0.0
F0,45,42,9,0.5322585643859123,0.7318587181556278,0.0,,0.0
F0,45,42,10,0.958724390670863,0.9849795251393388,1.0,43.75,0.0
F0,45,42,11,0.9467531241563206,0.9799997284890176,1.0,12.85,0.0
F0,45,42,12,0.7820320669050851,0.9072383783434478,1.0,27.35,0.0
F0,45,42,13,0.9886307522753918,0.9962371251341336,1.0,36.85,0.0
F0,45,42,14,0.9966488561710793,0.9987107302815116,1.0,6.25,0.0
F0,45,42,15,0.5163866144217244,0.719418267492441,0.0,,0.0
F0,45,42,16,0.510683323286229,0.7165003301749451,0.0,,0.0
F0,45,42,17,0.989171813496158,0.9963885424446829,1.0,33.6,0.0
F0,45,42,18,0.9428969284214704,0.9787702193966883,1.0,62.75,0.0
F0,45,42,19,0.7524486426547038,0.8904825751693713,1.0,127.25,0.0
F0,45,42,20,0.9832545591047106,0.9942204952773693,1.0,42.65,0.0
F0,45,42,21,0.5013990253692465,0.7080888982630112,0.0,,0.0
F0,45,42,22,0.5466832659622599,0.7428583700024947,0.0,,0.0
F0,45,42,23,0.5238013712139984,0.7258065460463963,0.0,,0.0
F0,45,42,24,0.8940332435874203,0.9588277696187292,1.0,27.3,0.0
F0,45,42,25,0.6752221796915354,0.8399844099824709,1.0,270.7,0.0
F0,45,42,26,0.5395399751472856,0.7399928725932786,0.15,1042.6666666666667,0.0
F0,45,42,27,0.7659504468187662,0.8954626284547321,1.0,33.1,0.0
F0,45,42,28,0.5594748261481128,0.7596352086111267,0.0,,0.0
F1,45,42,1,0.998933382767552,0.99963437916661,1.0,6.4,0.0
F1,45,42,2,0.9980041180799799,0.999303139212178,1.0,12.8,0.0
F1,45,42,3,0.5403198523383864,0.7343089815366814,0.0,,0.0
F1,45,42,4,0.9627270953759898,0.9829878922317038,1.0,4.0,0.0
F1,45,42,5,0.4957000458591754,0.7054135901884243,0.0,,0.0
F1,45,42,6,0.9995594283136028,0.9998560220649796,1.0,3.0,0.0
F1,45,42,7,0.9992767040320324,0.9997582495928221,1.0,4.0,0.0
F1,45,42,8,0.9932319253826837,0.997729435813535,1.0,24.75,0.0
F1,45,42,9,0.545534200836067,0.7412092574900453,0.0,,0.0
F1,45,42,10,0.9626698916022234,0.9865101488911212,1.0,44.35,0.0
F1,45,42,11,0.9869300456496038,0.9952263599763196,1.0,10.65,0.0
F1,45,42,12,0.8055089166509488,0.9187716938944557,1.0,24.65,0.0
F1,45,42,13,0.9887839613698086,0.9962931197372927,1.0,35.7,0.0
F1,45,42,14,0.9989634593597714,0.9996466448567118,1.0,5.85,0.0
F1,45,42,15,0.5185571341220618,0.7214958949598098,0.0,,0.0
F1,45,42,16,0.5122167826090173,0.7169889664509195,0.0,,0.0
F1,45,42,17,0.9898594638174805,0.9966561955648625,1.0,32.7,0.0
F1,45,42,18,0.9419131289148265,0.9783135632401666,1.0,62.25,0.0
F1,45,42,19,0.985747809669629,0.994872835135563,1.0,28.7,0.0
F1,45,42,20,0.9864937147041528,0.9954634321577688,1.0,43.0,0.0
F1,45,42,21,0.5022575196103449,0.7079732155321905,0.0,,0.0
F1,45,42,22,0.5650899000097389,0.7557613378924215,0.0,,0.0
F1,45,42,23,0.5383586606655251,0.7351705343535843,0.0,,0.0
F1,45,42,24,0.9879469821087578,0.9956801111507811,1.0,17.05,0.0
F1,45,42,25,0.9218151850577986,0.969618714432718,1.0,31.05,0.0
F1,45,42,26,0.9527112634819195,0.9826788470813502,1.0,30.6,0.0
F1,45,42,27,0.8341607462717846,0.9282157378329209,1.0,19.95,0.0
F1,45,42,28,0.5650843093817765,0.7632411774263349,0.1,1275.0,0.0
