variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0-C,42,42,1,0.9989110664847093,0.9996252443385598,1.0,6.7,0.0
F0-C,42,42,2,0.9974443402750811,0.9991111165117946,1.0,16.2,0.0
F0-C,42,42,3,0.5188562419638576,0.7189593202325946,0.0,,0.0
F0-C,42,42,4,0.5015328984108316,0.7117988705527182,1.0,4.0,0.0
F0-C,42,42,5,0.4956566522308886,0.7055634774507844,0.0,,0.0
F0-C,42,42,6,0.9995705140295792,0.9998588690022988,1.0,3.0,0.0
F0-C,42,42,7,0.512506669304802,0.7255918225530738,1.0,4.0,0.0
F0-C,42,42,8,0.9928858581151633,0.9975999790234701,1.0,25.85,0.0
F0-C,42,42,9,0.5313959896644267,0.7306107619303471,0.0,,0.0
F0-C,42,42,10,0.9649928160122488,0.987389567075223,1.0,44.25,0.0
F0-C,42,42,11,0.952900306220945,0.9823612876146013,1.0,12.4,0.0
F0-C,42,42,12,0.7849129261235807,0.9086080847009657,1.0,26.3,0.0
F0-C,42,42,13,0.9886623174416498,0.9962478743766914,1.0,36.6,0.0
F0-C,42,42,14,0.9976671610088526,0.9991204981174552,1.0,6.15,0.0
F0-C,42,42,15,0.5168416311319697,0.7198170058798397,0.0,,0.0
F0-C,42,42,16,0.5114597487114435,0.7169075916205173,0.0,,0.0
F0-C,42,42,17,0.9876786042291529,0.995806223756711,1.0,33.2,0.0
F0-C,42,42,18,0.9543234261488525,0.9832848844535105,1.0,62.7,0.0
F0-C,42,42,19,0.7555574232074548,0.8921888990043042,1.0,124.65,0.0
F0-C,42,42,20,0.9857562541683155,0.9951737254656075,1.0,42.85,0.0
F0-C,42,42,21,0.5015136116689412,0.707951430987964,0.0,,0.0
F0-C,42,42,22,0.5460786614298447,0.7424237097227053,0.0,,0.0
F0-C,42,42,23,0.5230502762029096,0.7247975586449616,0.0,,0.0
F0-C,42,42,24,0.9029520118247637,0.9624450526158157,1.0,26.75,0.0
F0-C,42,42,25,0.6790498860300871,0.8420374863183234,1.0,260.0,0.0
F0-C,42,42,26,0.5386921197417586,0.739282792170621,0.15,891.3333333333334,0.0
F0-C,42,42,27,0.7754468773230077,0.9003360273367589,1.0,28.1,0.0
F0-C,42,42,28,0.5601054822671692,0.760096182557283,0.0,,0.0
