seed,fault_id,f0_auroc,f0c_auroc,f1_auroc,f0_auprc,f0c_auprc,f1_auprc,f0_detected_run_ratio,f0c_detected_run_ratio,f1_detected_run_ratio,f0_detection_delay,f0c_detection_delay,f1_detection_delay,f0_prefault_fpr,f0c_prefault_fpr,f1_prefault_fpr,f0_threshold,f0c_threshold,f1_threshold,f1_minus_f0_auroc,f1_minus_f0_auprc,f1_minus_f0_detected_run_ratio,f1_minus_f0_detection_delay,f1_minus_f0_prefault_fpr,f1_minus_f0c_auroc,f1_minus_f0c_auprc,f1_minus_f0c_detected_run_ratio,f1_minus_f0c_detection_delay,f1_minus_f0c_prefault_fpr
42,1,0.9988985260959665,0.9989110664847093,0.998932418122264,0.9996207985231192,0.9996252443385598,0.9996329861218742,1.0,1.0,1.0,6.65,6.7,6.35,0.009585492227979275,0.009844559585492229,0.009844559585492229,0.8215875029563904,0.8246080875396729,0.8196030259132385,3.3892026297444033e-05,1.2187598754986873e-05,0.0,-0.3000000000000007,0.00025906735751295325,2.1351637554678504e-05,7.741783314418882e-06,0.0,-0.35000000000000053,0.0
43,1,0.9988819452919763,0.9988880475209541,0.9989437041639392,0.9996156402624289,0.9996219766375624,0.9996379326881407,1.0,1.0,1.0,7.35,6.4,6.45,0.009758203799654577,0.01001727115716753,0.010880829015544042,0.8208165168762207,0.8871942758560181,0.8420192003250122,6.175887196291363e-05,2.2292425711833985e-05,0.0,-0.8999999999999995,0.0011226252158894647,5.565664298512463e-05,1.595605057835847e-05,0.0,0.04999999999999982,0.0008635578583765114
44,1,0.9989127738760496,0.9989010964287783,0.9989366372896734,0.9996269841652483,0.9996215431839808,0.9996346173917299,1.0,1.0,1.0,6.55,7.05,6.4,0.009585492227979275,0.009153713298791019,0.009585492227979275,0.8282229900360107,0.8202648758888245,0.8198217749595642,2.3863413623814722e-05,7.633226481562616e-06,0.0,-0.14999999999999947,0.0,3.554086089507802e-05,1.307420774909751e-05,0.0,-0.6499999999999995,0.00043177892918825657
45,1,0.9988833968828088,0.9988902665133096,0.998933382767552,0.999615748508364,0.9996183195763053,0.99963437916661,1.0,1.0,1.0,7.35,6.95,6.4,0.009585492227979275,0.009585492227979275,0.009499136442141624,0.8191421627998352,0.8209508061408997,0.8455680012702942,4.998588474314225e-05,1.8630658246032716e-05,0.0,-0.9499999999999993,-8.635578583765166e-05,4.31162542423591e-05,1.6059590304706717e-05,0.0,-0.5499999999999998,-8.635578583765166e-05
46,1,0.9989264114332348,0.9988956475697719,0.998980283636534,0.999630571346461,0.9996193668042468,0.9996504822315861,1.0,1.0,1.0,6.4,7.05,6.05,0.009844559585492229,0.010103626943005182,0.010535405872193437,0.8233305811882019,0.8199812173843384,0.8454441428184509,5.3872203299221155e-05,1.99108851250962e-05,0.0,-0.35000000000000053,0.0006908462867012081,8.463606676212265e-05,3.111542733935657e-05,0.0,-1.0,0.00043177892918825483
42,2,0.997553268144269,0.9974443402750811,0.9977769025085709,0.9991475302645151,0.9991111165117946,0.9992276177033584,1.0,1.0,1.0,16.0,16.2,13.95,0.01070811744386874,0.01079447322970639,0.010362694300518135,0.8215875029563904,0.8246080875396729,0.8196030259132385,0.00022363436430183903,8.0087438843357e-05,0.0,-2.0500000000000007,-0.0003454231433506049,0.00033256223348976377,0.00011650119156381145,0.0,-2.25,-0.00043177892918825483
43,2,0.9974669647513065,0.9977236836752431,0.9978365009449209,0.9991172314445992,0.999220911831242,0.9992502746047779,1.0,1.0,1.0,16.6,13.55,13.25,0.01070811744386874,0.00846286701208981,0.010189982728842832,0.8208165168762207,0.8871942758560181,0.8420192003250122,0.00036953619361446144,0.000133043160178703,0.0,-3.3500000000000014,-0.0005181347150259082,0.0001128172696778229,2.936277353593475e-05,0.0,-0.3000000000000007,0.001727115716753021
44,2,0.9976192615933105,0.9974611152409024,0.9977679679824059,0.9991713991601514,0.9991160614761875,0.9992230469163265,1.0,1.0,1.0,15.5,16.6,14.0,0.0114853195164076,0.011053540587219343,0.010276338514680483,0.8282229900360107,0.8202648758888245,0.8198217749595642,0.0001487063890953655,5.1647756175055015e-05,0.0,-1.5,-0.0012089810017271163,0.00030685274150343833,0.0001069854401389847,0.0,-2.6000000000000014,-0.0007772020725388597
45,2,0.9975610376994474,0.9975510460699796,0.9980041180799799,0.9991526970079929,0.999148552798479,0.999303139212178,1.0,1.0,1.0,15.6,16.2,12.8,0.011139896373056995,0.011053540587219343,0.009153713298791019,0.8191421627998352,0.8209508061408997,0.8455680012702942,0.0004430803805325345,0.00015044220418503063,0.0,-2.799999999999999,-0.001986183074265976,0.0004530720100003327,0.00015458641369892057,0.0,-3.3999999999999986,-0.0018998272884283244
46,2,0.997580678863728,0.997401489067148,0.9979393543225354,0.999158664177444,0.9990928692411655,0.9992869188419035,1.0,1.0,1.0,15.8,17.9,12.2,0.010967184801381693,0.01079447322970639,0.010449050086355785,0.8233305811882019,0.8199812173843384,0.8454441428184509,0.0003586754588074115,0.00012825466445942624,0.0,-3.6000000000000014,-0.0005181347150259082,0.0005378652553874597,0.00019404960073798883,0.0,-5.699999999999999,-0.0003454231433506049
