architecture,seed,fault_id,channel,examples,target_samples,integration_steps,mean_abs_ig,normalized_xmv_ig,xmv_rank,mean_anomaly_score,mean_abs_convergence_delta
tcn,42,1,1,100,"620,680,740,800,860",32,0.004009853582829237,0.012291262857615948,6,5.937889099121094,0.010522824712097645
tcn,42,1,2,100,"620,680,740,800,860",32,0.0056631616316735744,0.017359089106321335,5,5.937889099121094,0.010522824712097645
tcn,42,1,3,100,"620,680,740,800,860",32,0.23222920298576355,0.7118439674377441,1,5.937889099121094,0.010522824712097645
tcn,42,1,4,100,"620,680,740,800,860",32,0.035936035215854645,0.11015345901250839,3,5.937889099121094,0.010522824712097645
tcn,42,1,5,100,"620,680,740,800,860",32,0.0,0.0,10,5.937889099121094,0.010522824712097645
tcn,42,1,6,100,"620,680,740,800,860",32,0.03913208842277527,0.11995021253824234,2,5.937889099121094,0.010522824712097645
tcn,42,1,7,100,"620,680,740,800,860",32,0.007208313327282667,0.022095387801527977,4,5.937889099121094,0.010522824712097645
tcn,42,1,8,100,"620,680,740,800,860",32,0.0015599799808114767,0.004781751427799463,7,5.937889099121094,0.010522824712097645
tcn,42,1,9,100,"620,680,740,800,860",32,0.0,0.0,10,5.937889099121094,0.010522824712097645
tcn,42,1,10,100,"620,680,740,800,860",32,0.0003846243198495358,0.0011789753334596753,8,5.937889099121094,0.010522824712097645
tcn,42,1,11,100,"620,680,740,800,860",32,0.00011284547508694232,0.00034590126597322524,9,5.937889099121094,0.010522824712097645
tcn,42,4,1,100,"620,680,740,800,860",32,0.0015408211620524526,0.08899315446615219,5,0.7256402969360352,0.0010938268387690187
tcn,42,4,2,100,"620,680,740,800,860",32,0.001633274368941784,0.0943329706788063,4,0.7256402969360352,0.0010938268387690187
tcn,42,4,3,100,"620,680,740,800,860",32,0.003539793659001589,0.20444773137569427,3,0.7256402969360352,0.0010938268387690187
tcn,42,4,4,100,"620,680,740,800,860",32,0.0012218593619763851,0.07057088613510132,6,0.7256402969360352,0.0010938268387690187
tcn,42,4,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.7256402969360352,0.0010938268387690187
tcn,42,4,6,100,"620,680,740,800,860",32,0.003937115892767906,0.22739586234092712,2,0.7256402969360352,0.0010938268387690187
tcn,42,4,7,100,"620,680,740,800,860",32,0.0002824749390129,0.016314895823597908,7,0.7256402969360352,0.0010938268387690187
tcn,42,4,8,100,"620,680,740,800,860",32,0.00014216617273632437,0.008211086504161358,9,0.7256402969360352,0.0010938268387690187
tcn,42,4,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.7256402969360352,0.0010938268387690187
tcn,42,4,10,100,"620,680,740,800,860",32,0.004872121848165989,0.2813989818096161,1,0.7256402969360352,0.0010938268387690187
tcn,42,4,11,100,"620,680,740,800,860",32,0.00014430138980969787,0.00833441037684679,8,0.7256402969360352,0.0010938268387690187
tcn,42,11,1,100,"620,680,740,800,860",32,0.0013148371363058686,0.05876924470067024,6,1.3078988790512085,0.0015059345168992877
tcn,42,11,2,100,"620,680,740,800,860",32,0.001481789629906416,0.06623151898384094,4,1.3078988790512085,0.0015059345168992877
tcn,42,11,3,100,"620,680,740,800,860",32,0.003339208895340562,0.14925254881381989,3,1.3078988790512085,0.0015059345168992877
tcn,42,11,4,100,"620,680,740,800,860",32,0.0013878027675673366,0.06203059107065201,5,1.3078988790512085,0.0015059345168992877
tcn,42,11,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.3078988790512085,0.0015059345168992877
tcn,42,11,6,100,"620,680,740,800,860",32,0.01063936110585928,0.47554728388786316,1,1.3078988790512085,0.0015059345168992877
tcn,42,11,7,100,"620,680,740,800,860",32,0.0004391926049720496,0.019630583003163338,7,1.3078988790512085,0.0015059345168992877
tcn,42,11,8,100,"620,680,740,800,860",32,0.00011008709407178685,0.004920560400933027,9,1.3078988790512085,0.0015059345168992877
tcn,42,11,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.3078988790512085,0.0015059345168992877
tcn,42,11,10,100,"620,680,740,800,860",32,0.0035304189659655094,0.15779906511306763,2,1.3078988790512085,0.0015059345168992877
tcn,42,11,11,100,"620,680,740,800,860",32,0.00013017974561080337,0.0058186412788927555,8,1.3078988790512085,0.0015059345168992877
tcn,42,19,1,100,"620,680,740,800,860",32,0.0015932529931887984,0.044463176280260086,7,1.0991051197052002,0.0022964884992688894
tcn,42,19,2,100,"620,680,740,800,860",32,0.0020391051657497883,0.05690564587712288,5,1.0991051197052002,0.0022964884992688894
tcn,42,19,3,100,"620,680,740,800,860",32,0.0027764670085161924,0.07748332619667053,4,1.0991051197052002,0.0022964884992688894
tcn,42,19,4,100,"620,680,740,800,860",32,0.001608017017133534,0.04487519711256027,6,1.0991051197052002,0.0022964884992688894
tcn,42,19,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.0991051197052002,0.0022964884992688894
tcn,42,19,6,100,"620,680,740,800,860",32,0.004953606054186821,0.13824111223220825,3,1.0991051197052002,0.0022964884992688894
tcn,42,19,7,100,"620,680,740,800,860",32,0.015493210405111313,0.432371586561203,1,1.0991051197052002,0.0022964884992688894
tcn,42,19,8,100,"620,680,740,800,860",32,0.007116193883121014,0.19859279692173004,2,1.0991051197052002,0.0022964884992688894
tcn,42,19,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.0991051197052002,0.0022964884992688894
tcn,42,19,10,100,"620,680,740,800,860",32,0.00010734602255979553,0.002995723159983754,9,1.0991051197052002,0.0022964884992688894
tcn,42,19,11,100,"620,680,740,800,860",32,0.00014589242346119136,0.004071444272994995,8,1.0991051197052002,0.0022964884992688894
tcn,42,23,1,100,"620,680,740,800,860",32,0.0015479502035304904,0.13049791753292084,3,0.6395661234855652,0.0008691733819432557
tcn,42,23,2,100,"620,680,740,800,860",32,0.001538313110359013,0.12968547642230988,4,0.6395661234855652,0.0008691733819432557
tcn,42,23,3,100,"620,680,740,800,860",32,0.003903369652107358,0.32906848192214966,1,0.6395661234855652,0.0008691733819432557
tcn,42,23,4,100,"620,680,740,800,860",32,0.0010403012856841087,0.0877012386918068,5,0.6395661234855652,0.0008691733819432557
tcn,42,23,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.6395661234855652,0.0008691733819432557
tcn,42,23,6,100,"620,680,740,800,860",32,0.003178630955517292,0.26797032356262207,2,0.6395661234855652,0.0008691733819432557
tcn,42,23,7,100,"620,680,740,800,860",32,0.0002939218538813293,0.02477869763970375,6,0.6395661234855652,0.0008691733819432557
tcn,42,23,8,100,"620,680,740,800,860",32,0.00013108487473800778,0.011050938628613949,8,0.6395661234855652,0.0008691733819432557
tcn,42,23,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.6395661234855652,0.0008691733819432557
tcn,42,23,10,100,"620,680,740,800,860",32,8.989512571133673e-05,0.007578491233289242,9,0.6395661234855652,0.0008691733819432557
tcn,42,23,11,100,"620,680,740,800,860",32,0.0001384104398312047,0.011668511666357517,7,0.6395661234855652,0.0008691733819432557
tcn,42,25,1,100,"620,680,740,800,860",32,0.0020578030962496996,0.04700075834989548,4,1.2477989196777344,0.0024662595242261887
tcn,42,25,2,100,"620,680,740,800,860",32,0.029927438125014305,0.6835504770278931,1,1.2477989196777344,0.0024662595242261887
tcn,42,25,3,100,"620,680,740,800,860",32,0.003287816420197487,0.07509458065032959,3,1.2477989196777344,0.0024662595242261887
tcn,42,25,4,100,"620,680,740,800,860",32,0.0010491679422557354,0.023963268846273422,5,1.2477989196777344,0.0024662595242261887
tcn,42,25,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.2477989196777344,0.0024662595242261887
tcn,42,25,6,100,"620,680,740,800,860",32,0.006414428818970919,0.14650721848011017,2,1.2477989196777344,0.0024662595242261887
tcn,42,25,7,100,"620,680,740,800,860",32,0.0005622089374810457,0.012840998359024525,6,1.2477989196777344,0.0024662595242261887
tcn,42,25,8,100,"620,680,740,800,860",32,0.0002109443594235927,0.0048180241137743,7,1.2477989196777344,0.0024662595242261887
tcn,42,25,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.2477989196777344,0.0024662595242261887
tcn,42,25,10,100,"620,680,740,800,860",32,0.00013340290752239525,0.003046957077458501,9,1.2477989196777344,0.0024662595242261887
tcn,42,25,11,100,"620,680,740,800,860",32,0.00013912792201153934,0.003177718026563525,8,1.2477989196777344,0.0024662595242261887
tcn,42,26,1,100,"620,680,740,800,860",32,0.0015457539120689034,0.0398377887904644,5,1.1703033447265625,0.0037526849191635847
tcn,42,26,2,100,"620,680,740,800,860",32,0.001664064242504537,0.04288693144917488,4,1.1703033447265625,0.0037526849191635847
tcn,42,26,3,100,"620,680,740,800,860",32,0.002975698094815016,0.07669088244438171,3,1.1703033447265625,0.0037526849191635847
tcn,42,26,4,100,"620,680,740,800,860",32,0.0243315938860178,0.6270835995674133,1,1.1703033447265625,0.0037526849191635847
tcn,42,26,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.1703033447265625,0.0037526849191635847
tcn,42,26,6,100,"620,680,740,800,860",32,0.007639437913894653,0.19688665866851807,2,1.1703033447265625,0.0037526849191635847
tcn,42,26,7,100,"620,680,740,800,860",32,0.00029967629234306514,0.007723377551883459,6,1.1703033447265625,0.0037526849191635847
tcn,42,26,8,100,"620,680,740,800,860",32,0.00013192518963478506,0.0034000289160758257,8,1.1703033447265625,0.0037526849191635847
tcn,42,26,9,100,"620,680,740,800,860",32,0.0,0.0,10,1.1703033447265625,0.0037526849191635847
tcn,42,26,10,100,"620,680,740,800,860",32,7.885348895797506e-05,0.0020322436466813087,9,1.1703033447265625,0.0037526849191635847
tcn,42,26,11,100,"620,680,740,800,860",32,0.00013419378956314176,0.003458496183156967,7,1.1703033447265625,0.0037526849191635847
tcn,42,27,1,100,"620,680,740,800,860",32,0.0013916235184296966,0.10095342993736267,4,0.8119409084320068,0.0008932847995311022
tcn,42,27,2,100,"620,680,740,800,860",32,0.0014389539137482643,0.10438695549964905,3,0.8119409084320068,0.0008932847995311022
tcn,42,27,3,100,"620,680,740,800,860",32,0.003456583246588707,0.25075313448905945,2,0.8119409084320068,0.0008932847995311022
tcn,42,27,4,100,"620,680,740,800,860",32,0.0012762260157614946,0.09258207678794861,5,0.8119409084320068,0.0008932847995311022
tcn,42,27,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.8119409084320068,0.0008932847995311022
tcn,42,27,6,100,"620,680,740,800,860",32,0.004845369607210159,0.3515007495880127,1,0.8119409084320068,0.0008932847995311022
tcn,42,27,7,100,"620,680,740,800,860",32,0.0002513204817660153,0.018231702968478203,7,0.8119409084320068,0.0008932847995311022
tcn,42,27,8,100,"620,680,740,800,860",32,0.00013409626262728125,0.00972783099859953,8,0.8119409084320068,0.0008932847995311022
tcn,42,27,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.8119409084320068,0.0008932847995311022
tcn,42,27,10,100,"620,680,740,800,860",32,0.0008620090084150434,0.06253326684236526,6,0.8119409084320068,0.0008932847995311022
tcn,42,27,11,100,"620,680,740,800,860",32,0.0001286250480916351,0.00933092925697565,9,0.8119409084320068,0.0008932847995311022
tcn,43,1,1,100,"620,680,740,800,860",32,0.003222432918846607,0.011367352679371834,6,5.8260369300842285,0.007284396793693304
tcn,43,1,2,100,"620,680,740,800,860",32,0.005867904517799616,0.020699433982372284,5,5.8260369300842285,0.007284396793693304
tcn,43,1,3,100,"620,680,740,800,860",32,0.19446085393428802,0.6859739422798157,1,5.8260369300842285,0.007284396793693304
tcn,43,1,4,100,"620,680,740,800,860",32,0.020257271826267242,0.07145891338586807,3,5.8260369300842285,0.007284396793693304
tcn,43,1,5,100,"620,680,740,800,860",32,0.0,0.0,10,5.8260369300842285,0.007284396793693304
tcn,43,1,6,100,"620,680,740,800,860",32,0.04634356126189232,0.16348008811473846,2,5.8260369300842285,0.007284396793693304
tcn,43,1,7,100,"620,680,740,800,860",32,0.01116814836859703,0.03939640894532204,4,5.8260369300842285,0.007284396793693304
tcn,43,1,8,100,"620,680,740,800,860",32,0.001779167097993195,0.006276133470237255,7,5.8260369300842285,0.007284396793693304
tcn,43,1,9,100,"620,680,740,800,860",32,0.0,0.0,10,5.8260369300842285,0.007284396793693304
tcn,43,1,10,100,"620,680,740,800,860",32,0.0002712261921260506,0.0009567689266987145,8,5.8260369300842285,0.007284396793693304
tcn,43,1,11,100,"620,680,740,800,860",32,0.00011080828699050471,0.0003908838261850178,9,5.8260369300842285,0.007284396793693304
tcn,43,4,1,100,"620,680,740,800,860",32,0.0015552341938018799,0.09153122454881668,5,0.6915989518165588,0.000906215573195368
tcn,43,4,2,100,"620,680,740,800,860",32,0.0016456497833132744,0.09685251116752625,4,0.6915989518165588,0.000906215573195368
tcn,43,4,3,100,"620,680,740,800,860",32,0.0035785401705652475,0.21061018109321594,3,0.6915989518165588,0.000906215573195368
tcn,43,4,4,100,"620,680,740,800,860",32,0.0012104194611310959,0.07123761624097824,6,0.6915989518165588,0.000906215573195368
tcn,43,4,5,100,"620,680,740,800,860",32,0.0,0.0,10,0.6915989518165588,0.000906215573195368
tcn,43,4,6,100,"620,680,740,800,860",32,0.00458379415795207,0.26977306604385376,1,0.6915989518165588,0.000906215573195368
tcn,43,4,7,100,"620,680,740,800,860",32,0.00026864666142500937,0.01581083983182907,7,0.6915989518165588,0.000906215573195368
tcn,43,4,8,100,"620,680,740,800,860",32,0.00012414023512974381,0.007306107319891453,9,0.6915989518165588,0.000906215573195368
tcn,43,4,9,100,"620,680,740,800,860",32,0.0,0.0,10,0.6915989518165588,0.000906215573195368
tcn,43,4,10,100,"620,680,740,800,860",32,0.0038770134560763836,0.22817642986774445,2,0.6915989518165588,0.000906215573195368
tcn,43,4,11,100,"620,680,740,800,860",32,0.0001478591002523899,0.008702049031853676,8,0.6915989518165588,0.000906215573195368
tcn,43,11,1,100,"620,680,740,800,860",32,0.0013413360575214028,0.05480208247900009,6,1.2895398139953613,0.0013057485921308398
tcn,43,11,2,100,"620,680,740,800,860",32,0.0015722938114777207,0.06423817574977875,4,1.2895398139953613,0.0013057485921308398
tcn,43,11,3,100,"620,680,740,800,860",32,0.003128224750980735,0.12780781090259552,2,1.2895398139953613,0.0013057485921308398
tcn,43,11,4,100,"620,680,740,800,860",32,0.0013908403925597668,0.05682465061545372,5,1.2895398139953613,0.0013057485921308398
tcn,43,11,5,100,"620,680,740,800,860",32,0.0,0.0,10,1.2895398139953613,0.0013057485921308398
tcn,43,11,6,100,"620,680,740,800,860",32,0.013750332407653332,0.5617882609367371,1,1.2895398139953613,0.0013057485921308398
