method,auroc,auprc,prefault_fpr,detected_run_ratio,median_detection_delay_detected,threshold
sensor,0.5823295454545454,0.8397425383803262,0.011111111111111112,0.008333333333333333,70.0,2.3773117065429688
joint,0.6197558922558922,0.8581118077044245,0.022222222222222223,0.03333333333333333,35.0,2.260852098464966
oracle_proxy,0.577209595959596,0.8397161307365264,0.013888888888888888,0.008333333333333333,70.0,2.3272411823272705
