seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean
42,original,1,20,0.8194200396537781,0.9950453488372093,0.9975019488558962,0.00875,1.0,4.35
42,original,2,20,0.8194200396537781,0.9897280315614618,0.9947176269467549,0.0095,1.0,11.95
42,original,3,20,0.8194200396537781,0.5401351328903654,0.6339151595443463,0.01075,0.0,302.0
42,original,4,20,0.8194200396537781,0.9623112126245847,0.9731175611431905,0.0115,1.0,2.0
42,original,5,20,0.8194200396537781,0.501271511627907,0.6062633073090348,0.0115,0.05,287.0
42,original,6,20,0.8194200396537781,0.9979763289036545,0.999053047335399,0.008,1.0,1.0
42,original,7,20,0.8194200396537781,0.9967485049833887,0.9984144720614974,0.011,1.0,2.0
42,original,8,20,0.8194200396537781,0.9684860880398671,0.9844352303969036,0.0095,1.0,23.25
42,original,9,20,0.8194200396537781,0.5411786752491694,0.636443170526248,0.012,0.0,302.0
42,original,10,20,0.8194200396537781,0.9153458679401993,0.9548864845659164,0.01075,1.0,43.2
42,original,11,20,0.8194200396537781,0.9713864825581395,0.9844883718970426,0.01075,1.0,9.0
42,original,12,20,0.8194200396537781,0.7727283430232558,0.8590352291185905,0.01125,1.0,25.5
42,original,13,20,0.8194200396537781,0.9480479651162791,0.9747228581028424,0.0105,1.0,34.0
42,original,14,20,0.8194200396537781,0.9943271179401993,0.9970330030988449,0.01175,1.0,4.05
42,original,15,20,0.8194200396537781,0.5134059385382059,0.6168732403019865,0.00975,0.0,302.0
42,original,16,20,0.8194200396537781,0.5082352159468438,0.6079852292590551,0.01025,0.0,302.0
42,original,17,20,0.8194200396537781,0.9507947051495017,0.9760426805688116,0.0085,1.0,31.4
42,original,18,20,0.8194200396537781,0.8746010382059801,0.9312041601317643,0.00975,1.0,63.0
42,original,19,20,0.8194200396537781,0.9407816860465116,0.968092005024265,0.01,1.0,30.3
42,original,20,20,0.8194200396537781,0.9393603820598007,0.9701203008228005,0.01025,1.0,41.25
42,original,21,20,0.8194200396537781,0.5010575166112957,0.6005253488590919,0.01075,0.0,302.0
42,original,22,20,0.8194200396537781,0.5580262666112957,0.6488839134900278,0.01375,0.0,302.0
42,original,23,20,0.8194200396537781,0.5385429609634551,0.6322182187672772,0.00925,0.0,302.0
42,original,24,20,0.8194200396537781,0.9685969684385382,0.9836734159911134,0.00975,1.0,14.95
42,original,25,20,0.8194200396537781,0.870930419435216,0.9224774787576954,0.009,1.0,35.45
42,original,26,20,0.8194200396537781,0.9226222799003322,0.9582107871477061,0.009,1.0,28.9
42,original,27,20,0.8194200396537781,0.8054270971760797,0.8766934314632385,0.01,1.0,24.55
42,original,28,20,0.8194200396537781,0.5542116486710963,0.6585390269685509,0.009,0.0,302.0
42,conditional_XMV_01,1,20,0.8197999000549316,0.9950777823920266,0.997518637731899,0.0095,1.0,4.3
42,conditional_XMV_01,2,20,0.8197999000549316,0.9899240033222592,0.9948189449867659,0.00875,1.0,11.7
42,conditional_XMV_01,3,20,0.8197999000549316,0.5400111918604651,0.6338838127506712,0.01075,0.0,302.0
42,conditional_XMV_01,4,20,0.8197999000549316,0.9553785921926911,0.9677600215287724,0.011,1.0,2.0
42,conditional_XMV_01,5,20,0.8197999000549316,0.501324688538206,0.6063166574921903,0.011,0.05,287.0
42,conditional_XMV_01,6,20,0.8197999000549316,0.9979696428571428,0.9990510215304277,0.00775,1.0,1.0
42,conditional_XMV_01,7,20,0.8197999000549316,0.9967387873754153,0.9984116839649821,0.011,1.0,2.0
42,conditional_XMV_01,8,20,0.8197999000549316,0.9686854235880399,0.9845441565405446,0.01025,1.0,23.25
42,conditional_XMV_01,9,20,0.8197999000549316,0.5411639742524917,0.6364123379717319,0.0115,0.0,302.0
42,conditional_XMV_01,10,20,0.8197999000549316,0.9148806063122924,0.9546264597283487,0.011,1.0,43.1
42,conditional_XMV_01,11,20,0.8197999000549316,0.971063745847176,0.9843122428350888,0.0105,1.0,9.0
