seed,condition,fault_id,runs,threshold,auroc,auprc,pre_fpr,detected_ratio,censored_delay_mean,channel,original_auroc,original_auprc,original_pre_fpr,delta_auroc,delta_auprc,delta_pre_fpr,mode
42,conditional_XMV_01,1,20,0.8197999000549316,0.9950777823920266,0.997518637731899,0.0095,1.0,4.3,1,0.9950453488372092,0.9975019488558962,0.00875,-3.243355481741261e-05,-1.668887600281277e-05,0.0007499999999999989,conditional
42,conditional_XMV_01,2,20,0.8197999000549316,0.9899240033222592,0.994818944986766,0.00875,1.0,11.7,1,0.9897280315614618,0.9947176269467548,0.0095,-0.00019597176079733103,-0.00010131804001123346,-0.0007499999999999989,conditional
42,conditional_XMV_01,3,20,0.8197999000549316,0.5400111918604651,0.6338838127506712,0.01075,0.0,302.0,1,0.5401351328903654,0.6339151595443463,0.01075,0.00012394102990032074,3.134679367511328e-05,0.0,conditional
42,conditional_XMV_01,4,20,0.8197999000549316,0.9553785921926912,0.9677600215287724,0.011,1.0,2.0,1,0.9623112126245849,0.9731175611431904,0.0115,0.006932620431893688,0.005357539614417983,-0.0005000000000000004,conditional
42,conditional_XMV_01,5,20,0.8197999000549316,0.501324688538206,0.6063166574921903,0.011,0.05,287.0,1,0.501271511627907,0.6062633073090348,0.0115,-5.3176910299046476e-05,-5.335018315555384e-05,-0.0005000000000000004,conditional
42,conditional_XMV_01,6,20,0.8197999000549316,0.9979696428571428,0.9990510215304276,0.00775,1.0,1.0,1,0.9979763289036544,0.999053047335399,0.008,6.686046511550359e-06,2.025804971439449e-06,-0.0002500000000000002,conditional
42,conditional_XMV_01,7,20,0.8197999000549316,0.9967387873754152,0.998411683964982,0.011,1.0,2.0,1,0.9967485049833888,0.9984144720614974,0.011,9.717607973636078e-06,2.7880965153270765e-06,0.0,conditional
42,conditional_XMV_01,8,20,0.8197999000549316,0.96868542358804,0.9845441565405446,0.01025,1.0,23.25,1,0.9684860880398672,0.9844352303969036,0.0095,-0.00019933554817275212,-0.00010892614364099718,0.0007500000000000007,conditional
42,conditional_XMV_01,9,20,0.8197999000549316,0.5411639742524917,0.6364123379717319,0.0115,0.0,302.0,1,0.5411786752491694,0.636443170526248,0.012,1.4700996677663447e-05,3.083255451608036e-05,-0.0005000000000000004,conditional
42,conditional_XMV_01,10,20,0.8197999000549316,0.9148806063122924,0.9546264597283488,0.011,1.0,43.1,1,0.9153458679401992,0.9548864845659164,0.01075,0.00046526162790683223,0.0002600248375675962,0.0002500000000000002,conditional
42,conditional_XMV_01,11,20,0.8197999000549316,0.971063745847176,0.9843122428350888,0.0105,1.0,9.0,1,0.9713864825581396,0.9844883718970426,0.01075,0.00032273671096361145,0.0001761290619538558,-0.0002499999999999985,conditional
42,conditional_XMV_01,12,20,0.8197999000549316,0.7725610880398671,0.8589520968065728,0.01075,1.0,25.45,1,0.7727283430232558,0.8590352291185905,0.01125,0.00016725498338865386,8.313231201773075e-05,-0.0005000000000000004,conditional
42,conditional_XMV_01,13,20,0.8197999000549316,0.9481669019933556,0.9747836519429208,0.01,1.0,33.9,1,0.9480479651162792,0.9747228581028424,0.0105,-0.00011893687707642542,-6.0793840078399164e-05,-0.0005000000000000004,conditional
42,conditional_XMV_01,14,20,0.8197999000549316,0.9942624169435216,0.9969950910518424,0.012,1.0,4.05,1,0.9943271179401992,0.9970330030988448,0.01175,6.470099667765794e-05,3.791204700243078e-05,0.0002500000000000002,conditional
42,conditional_XMV_01,15,20,0.8197999000549316,0.5134013081395349,0.617105593955212,0.00925,0.0,302.0,1,0.5134059385382059,0.6168732403019865,0.00975,4.630398671046088e-06,-0.00023235365322549217,-0.0005000000000000004,conditional
42,conditional_XMV_01,16,20,0.8197999000549316,0.5083821636212624,0.6078661320334897,0.0105,0.0,302.0,1,0.5082352159468438,0.6079852292590551,0.01025,-0.00014694767441858492,0.00011909722556535662,0.0002500000000000002,conditional
42,conditional_XMV_01,17,20,0.8197999000549316,0.9508503322259136,0.9760601744745236,0.00875,1.0,31.4,1,0.9507947051495016,0.9760426805688116,0.0085,-5.5627076412045895e-05,-1.749390571204046e-05,0.0002500000000000002,conditional
42,conditional_XMV_01,18,20,0.8197999000549316,0.8746368147840532,0.9311729739130256,0.01025,1.0,63.0,1,0.8746010382059801,0.9312041601317644,0.00975,-3.577657807307677e-05,3.1186218738876725e-05,0.0005000000000000004,conditional
42,conditional_XMV_01,19,20,0.8197999000549316,0.9415724252491694,0.9684921843046328,0.01025,1.0,30.3,1,0.9407816860465116,0.968092005024265,0.01,-0.0007907392026578197,-0.00040017928036784056,0.0002500000000000002,conditional
42,conditional_XMV_01,20,20,0.8197999000549316,0.939378384551495,0.9701259865349308,0.01,1.0,41.45,1,0.9393603820598008,0.9701203008228004,0.01025,-1.8002491694257827e-05,-5.685712130332199e-06,-0.0002500000000000002,conditional
42,conditional_XMV_01,21,20,0.8197999000549316,0.5008285091362126,0.600631314305913,0.01075,0.0,302.0,1,0.5010575166112957,0.6005253488590919,0.01075,0.00022900747508314279,-0.00010596544682106579,0.0,conditional
42,conditional_XMV_01,22,20,0.8197999000549316,0.558197861295681,0.6491382517318858,0.01325,0.0,302.0,1,0.5580262666112957,0.6488839134900278,0.01375,-0.00017159468438532333,-0.0002543382418579432,-0.0005000000000000004,conditional
42,conditional_XMV_01,23,20,0.8197999000549316,0.538609738372093,0.6322841115754665,0.0095,0.0,302.0,1,0.5385429609634551,0.6322182187672772,0.00925,-6.677740863791914e-05,-6.589280818924959e-05,0.0002500000000000002,conditional
42,conditional_XMV_01,24,20,0.8197999000549316,0.965721511627907,0.982083123530183,0.01,1.0,15.55,1,0.9685969684385382,0.9836734159911134,0.00975,0.0028754568106311718,0.0015902924609303426,0.0002500000000000002,conditional
