architecture,seed,fault_id,auroc_F0,auroc_F0-C,auroc_F1,auprc_F0,auprc_F0-C,auprc_F1,delta_auroc_f0,delta_auroc_f0c,delta_auprc_f0,delta_auprc_f0c
tcn,42,1,0.9989360517222464,0.9989279092530748,0.9989958843855672,0.9996322805479044,0.9996301100515428,0.9996531087917764,5.9832663320769086e-05,6.797513249234832e-05,2.0828243871950924e-05,2.299874023359294e-05
tcn,42,2,0.9974167261479896,0.9974472434567464,0.9977501913880906,0.9990994054917596,0.9991106986156232,0.9992142599968542,0.0003334652401010274,0.0003029479313442218,0.00011485450509463035,0.00010356138123102099
tcn,42,3,0.5265518738774057,0.5272837622768834,0.5470850453475743,0.723378949547552,0.7240025343258696,0.7373922540967208,0.020533171470168643,0.019801283070690845,0.014013304549168826,0.013389719770851238
tcn,42,4,0.5013164172149427,0.5011126613238261,0.71047098112747,0.7104904370357105,0.710285446898758,0.834956218440667,0.2091545639125273,0.20935831980364383,0.12446578140495657,0.12467077154190898
tcn,42,5,0.4944564300850984,0.4948623115243368,0.4946663775812737,0.7053337882193931,0.7054417563715308,0.7053645041578223,0.00020994749617531117,-0.00019593394306310907,3.071593842918219e-05,-7.725221370857849e-05
tcn,42,6,0.9995637707583652,0.999587137980643,0.9995947072101226,0.999853335035992,0.9998631336171546,0.9998669045497232,3.093645175733517e-05,7.569229479531536e-06,1.3569513731104266e-05,3.7709325685364448e-06
tcn,42,7,0.5125146823327527,0.5118856503928233,0.9992813176869716,0.7228819691976365,0.7228485647687082,0.9997598970378284,0.48676663535421894,0.4873956672941483,0.27687792784019194,0.27691133226912024
tcn,42,8,0.9919914716727134,0.9919438188118777,0.992189609198463,0.997270383045806,0.997250524832252,0.997336451833853,0.00019813752574959764,0.0002457903865853428,6.606878804704674e-05,8.592700160103828e-05
tcn,42,9,0.5264484287684962,0.5263566888442625,0.542969323047071,0.7259666799360917,0.7258022849035407,0.7372779370153629,0.016520894278574838,0.016612634202808563,0.011311257079271275,0.011475652111822221
tcn,42,10,0.9590670308279676,0.9591596491033422,0.9593085465723348,0.9851301101558964,0.9851818239283572,0.985245147348868,0.00024151574436714895,0.0001488974689926037,0.00011503719297167869,6.332342051085238e-05
tcn,42,11,0.9436278675853296,0.9424195553632428,0.9580455546802864,0.9786786265178682,0.9782176003526304,0.984048862957625,0.014417687094956833,0.01562599931704356,0.005370236439756759,0.005831262604994558
tcn,42,12,0.7978175223964131,0.7993977007540876,0.8027730624190222,0.9143815615599892,0.915162582133056,0.9166813061140524,0.004955540022609117,0.003375361664934684,0.002299744554063232,0.0015187239809963948
tcn,42,13,0.9887625635032464,0.9887514685414688,0.988855662560298,0.9962770328255892,0.9962747129571562,0.996312239618507,9.309905705157107e-05,0.00010419401882921786,3.5206792917796825e-05,3.752666135081739e-05
tcn,42,14,0.996734105542673,0.9965833712411194,0.9965150108668986,0.9987373237678976,0.998673415502914,0.9986515623413288,-0.00021909467577441166,-6.836037422075503e-05,-8.576142656879782e-05,-2.1853161585205783e-05
tcn,42,15,0.5186057423823841,0.5188824260736533,0.5187780717942649,0.7198396556121675,0.7200111772833067,0.7205006250799372,0.00017232941188083384,-0.0001043542793883745,0.0006609694677697231,0.0004894477966305155
tcn,42,16,0.5115604570631143,0.5116321490078022,0.5117017914664951,0.7156594081855191,0.7157638545867423,0.7155132325477896,0.0001413344033808217,6.964245869289787e-05,-0.00014617563772945097,-0.00025062203895265256
tcn,42,17,0.9859995019594936,0.9849908743939376,0.9841942931214936,0.9951543809067228,0.9947732749581674,0.994442095075278,-0.0018052088379999498,-0.0007965812724439747,-0.0007122858314447811,-0.000331179882889332
tcn,42,18,0.9351804657171844,0.9354155433017868,0.936936104731508,0.9760122427342648,0.9761319551887924,0.9765205945732888,0.001755639014323629,0.0015205614297212344,0.0005083518390239794,0.0003886393844964031
